model,method,samples,mean_latency_s,std_latency_s,mean_ue_compute_energy_j,mean_ue_comm_energy_j,mean_total_ue_energy_j,std_total_ue_energy_j,top1_accuracy_pct,mean_top1_confidence_pct
MobileNetV2,OPT,100,0.07531637830326163,0.026364586855645765,0.31600886817216706,0.007338239999999999,0.32334710817216705,0.14586837978553582,80.0,41.66160136461258
MobileNetV2,RANDOM,100,0.05552361772808914,0.017107509375487332,0.15509424167789504,0.028164416,0.183258657677895,0.09707634385526323,34.0,17.514364743605256
MobileNetV2,LOCAL,100,0.12315014978723732,0.03142065126480919,0.6153180231667356,0.0004,0.6157180231667355,0.15702238512366287,80.0,33.18636745214462
